"id","tier","target_folder","source_path","role","status","bytes","sha256"
"A00","A","01_MASTER_THEORY","C:\ALL THEORY\corpus\MASTER_THEORY_UNIFIED_2026-08-20_v4_3.md","Unified controlling scientific authority","current scientific authority, version 4.3","64978","1F8295C3A797AEB854B4B0CA82485BD7F4A149617777D2A43FC147A4A53C26DD"
"A01","A","00_README_STATUS_MANIFEST","C:\ALL THEORY\corpus\GLUEBALL_SOURCE_CONSOLIDATION_GUIDE_2026-08-20_v4_3.md","Unified navigation and consolidation guide","current navigation, version 4.3","32178","60B8A93C8149049F50ED3CE8E0CFD1B379723B6765F201395A2FDA6C4A7E7AA7"
"A02","A","01_MASTER_THEORY","C:\ALL THEORY\corpus\GLUEBALL_DETAILED_FORMULA_DOCUMENT_2026-08-20_v3_1.md","Detailed formula and August reconciliation appendix","current technical appendix; master controls conflicts","34260","924D5B26F865E33F530D166735E847B89F60DF7FE363995E2788AB24E1FF4254"
"A10T","A","03_HOMOLOGY_O2_O3","F:\THEORY\papers\flat_band\glueball_flat_band_paper_v1_1.tex","Current June manuscript source","historical family with August qualifications","85854","2E76A8CBF26738335D3DE7574AA7AB62B9B2F29D5DE461509DCE13D0F1A9CBFC"
"A10P","A","03_HOMOLOGY_O2_O3","F:\THEORY\papers\flat_band\glueball_flat_band_paper_v1_1.pdf","Rendered current June manuscript","historical family with August qualifications","528581","A91C61AC871BF93F6333D93C48D940BD5F59D73D6D57F4BC0A1B81C6A63F1161"
"A11C","A","03_HOMOLOGY_O2_O3","F:\THEORY\programs\one_plaquette\cls_flat_band_certificate_v1_1.py","Exact incidence and lower-order verifier","cold certificate","16675","34928E106DCA36B5FF3465464AB611AB65A2CC8A2804D6F9A5B0696DCBC9DD31"
"A11R","A","03_HOMOLOGY_O2_O3","F:\THEORY\programs\one_plaquette\cls_flat_band_results_v1_1.md","Exact incidence verifier output","cold result","7189","BE12253E6F4BB49C204638D6ACA5287D2A7E4FC5D85CC1B779A207631A2CED49"
"A12C","A","03_HOMOLOGY_O2_O3","F:\THEORY\programs\one_plaquette\glueball_band_certificate_v2.py","Independent band verifier","supporting certificate","20671","3BF2E4B98401ABD35D17AACBD0BDF011243BCE7C7188F352B99EA9FC883E3EBE"
"A12R","A","03_HOMOLOGY_O2_O3","F:\THEORY\programs\one_plaquette\glueball_band_results_v2.md","Independent band verifier output","supporting result","11548","436EA8D247A36F09EF24461CE5C8B56204002AED263DB8648C47A73586EAB445"
"A13C","A","03_HOMOLOGY_O2_O3","C:\Users\Alex\Downloads\suN_closed_surface_band_stage1_certificate.py","All-rank second-order closed-surface verifier","cold certificate","12912","CEFC464A9D2C15E32453EE3ED99A721F142E0BB93EB4C03E080051E4AA059285"
"A13R","A","03_HOMOLOGY_O2_O3","C:\Users\Alex\Downloads\suN_closed_surface_stage1_certificate.json","All-rank second-order closed-surface output","cold result","3468","74F1932607FB68EAD235CE49C4BD85DB3C6E69FF670BE8ECB5D4E6EA1885787F"
"A20K","A","04_HISTORICAL_SU3_O4","F:\THEORY\programs\one_plaquette\y4_o3_flatband_verification\y4_full_real_space_H4_kernel.json.gz","Saved 189-record historical fourth-order kernel","exact supplied kernel","1166","635D40FA8A5D7DA841FD30F36185EB96F14EC4C040678DDD8FB010379AFB2900"
"A21C","A","04_HISTORICAL_SU3_O4","F:\THEORY\programs\one_plaquette\y4_o3_flatband_verification\y4_global_band_edge_certificate.py","Historical kernel global-edge verifier","cold fixed-kernel certificate","26683","8871934F6DFFF81B000571E02B89E47ABCEDA2AC91582D654340634AEAFB5118"
"A21R","A","04_HISTORICAL_SU3_O4","F:\THEORY\programs\one_plaquette\y4_o3_flatband_verification\Y4_GLOBAL_BAND_EDGE_CERTIFICATE.md","Historical kernel global-edge result","exact for supplied kernel","2009","54FB405DF05615CED353FF239A948A24191608A65E623FD1CB79F83ABA4DA6BC"
"A21V","A","04_HISTORICAL_SU3_O4","F:\THEORY\programs\one_plaquette\y4_o3_flatband_verification\y4_stage3j_final_verdict.json","Historical kernel stage verdict","record","3075","99F38B83FC20E17855F4D06E1F728DDB0C05D3F21CD17AFC41432EB1D5E7F99B"
"A22","A","04_HISTORICAL_SU3_O4","F:\THEORY\papers\flat_band\FOURTH_ORDER_T1PM_BAND_THEOREM_V0_8_CONSOLIDATED.md","Historical fourth-order theorem source","superseded physical interpretation","26524","E47BA01941AC988626CE5EBE99B98513A879720DCD65855497FA1E32860E52DA"
"A30S","A","05_PHYSICAL_O4_ADJUDICATION","C:\Users\Alex\Downloads\15 hour RUN.txt","Completed run source and full transcript","blind scalar plus forced final alignment","693354","3846A022B4BD6874E332E8B16F4ED13A5706AF1BE855CC059763533D721D309E"
"A30R","A","05_PHYSICAL_O4_ADJUDICATION","C:\Users\Alex\Downloads\15 hour RUN. results.txt","Compact completed run results","mixed verdict","360644","B2674DA19A0C92546E21383A465B758FDAF9821511E093E6DB2412F065C1A8CA"
"A31A","A","05_PHYSICAL_O4_ADJUDICATION","C:\Users\Alex\Downloads\03-unified-proposal.md","Rules for an unshifted adjudication","governing forensic proposal","13097","82B6BE8038B0E93BD632DE0C8849FADAAE906626AE8ABF4761AD70C02BA43984"
"A31B","A","05_PHYSICAL_O4_ADJUDICATION","C:\Users\Alex\Downloads\05-latest-run-forensics.md","Latest-run dataflow audit","governing forensic record","16173","A80890E52EBBB56335EEBCF50BCCCEF16BC9F2794ED1D5FA159EAA25E429147B"
"A31C","A","05_PHYSICAL_O4_ADJUDICATION","C:\Users\Alex\Downloads\06-pattern-2-5-runtime-forensics.md","Order-schedule audit","quarantines forbidden branch","7368","646092ECE08E19C36D0C82092F47A32AC2AE876727F580E164109A2491A575DA"
"A31D","A","05_PHYSICAL_O4_ADJUDICATION","C:\Users\Alex\Downloads\06-physicalq-q2.md","Physical-Q status and blocked components","governing status record","18951","0E686161F25EBC0962BAA0D7AEB7AD12A905D1301100BD538C1A1E2643A5898F"
"A31E","A","05_PHYSICAL_O4_ADJUDICATION","C:\Users\Alex\Downloads\09-dual-cold-oracle.md","Dual-cold design and status","governing status record","17309","80EE209C0C853DB7403E2B33BA49D0191057B9A720F0D14F45A17C9A75DF722C"
"A32N","A","05_PHYSICAL_O4_ADJUDICATION","C:\Users\Alex\Downloads\Hodge_v10a25_Hamer_Gelfand_O4_A100.ipynb","Hamer normalization bridge notebook","conditional convention cross-check","382366","4E0F7970D659CF569BD99E7EBDDBF41F3590E1DFEC615A6CDD6F5498F9BFE61D"
"A32T","A","05_PHYSICAL_O4_ADJUDICATION","C:\Users\Alex\Downloads\Monday 531 PM.txt","Hamer notebook transcript","supporting record","539676","80E8BD95FF6879F7F1BCBBDF6561935CADF096FD823923E1C434EE5C9615C817"
"A40E","A","10_TESTS","C:\Users\Alex\Downloads\Hodge_SU3_Exact_MarkedCluster_m4_Colab.py","Target-blind exact marked-cluster engine","not yet physically evaluated","288745","9E158AF7E7FE012CA452D2455AB6BF6F71B14F5CC5C10A6E49F826B837D32844"
"A40T","A","10_TESTS","C:\Users\Alex\Downloads\test_Hodge_SU3_Exact_MarkedCluster_m4_Colab.py","Marked-cluster tests","self-test and preflight support","8944","67B4FE5E3DA4DAEF972130828B82A6E90284DC2E383600A801F6BAEFC59C74FD"
"A41E","A","10_TESTS","C:\Users\Alex\Downloads\Hodge_Y4_Canonical_O4_Production_Colab.py","Canonical historical-kernel production engine","not yet production-run","446723","1970C63A426812BECE12B1BE1706958FD8EA9ECFBEB3D305875D40FF6F2266B5"
"A41T","A","10_TESTS","C:\Users\Alex\Downloads\test_Hodge_Y4_Canonical_O4_Production_Colab.py","Canonical production tests","tests pass against fixture","56567","A0E89BC026F272040A9186F2A284AEBC6363EF8335B42380D99A3BAB12EDD557"
