"id","tier","target_folder","source_path","role","status","bytes","sha256"
"A00","A","01_MASTER_THEORY","C:\Users\Alex\Downloads\MASTER_THEORY_UNIFIED_2026-08-20_v3.md","Unified controlling scientific authority","current scientific authority","42480","134A604B96BEC35C2828E5B05AF00F1C8A51002BB43323A02E9A840D31BC766A"
"A01","A","00_README_STATUS_MANIFEST","C:\Users\Alex\Downloads\GLUEBALL_SOURCE_CONSOLIDATION_GUIDE_2026-08-20_v3.md","Unified navigation and consolidation guide","current navigation","19642","2F0FC2973602B042D616CEED84C436DAC1FEA20C49DB8602F890FC4212918580"
"A02","A","01_MASTER_THEORY","C:\Users\Alex\Downloads\GLUEBALL_DETAILED_FORMULA_DOCUMENT_2026-08-20_v3_1.md","Detailed formula and August reconciliation appendix","current technical appendix; master controls conflicts","34244","649E5544AF709D17042A855DAEB4E807A651FDF513A09A91C1054FD2566A60C7"
"A10T","A","03_HOMOLOGY_O2_O3","F:\THEORY\papers\flat_band\PAPER_FLUX_glueball_flat_band_v1_1.tex","Current June manuscript source","historical family with August qualifications","85854","2E76A8CBF26738335D3DE7574AA7AB62B9B2F29D5DE461509DCE13D0F1A9CBFC"
"A10P","A","03_HOMOLOGY_O2_O3","F:\THEORY\papers\flat_band\PAPER_FLUX_glueball_flat_band_v1_1.pdf","Rendered current June manuscript","historical family with August qualifications","528581","A91C61AC871BF93F6333D93C48D940BD5F59D73D6D57F4BC0A1B81C6A63F1161"
"A11C","A","03_HOMOLOGY_O2_O3","F:\THEORY\programs\one_plaquette\ENGINE_FLUX_cls_flat_band_certificate_v1_1.py","Exact incidence and lower-order verifier","cold certificate","16675","34928E106DCA36B5FF3465464AB611AB65A2CC8A2804D6F9A5B0696DCBC9DD31"
"A11R","A","03_HOMOLOGY_O2_O3","F:\THEORY\programs\one_plaquette\NOTE_FLUX_cls_flat_band_results_v1_1.md","Exact incidence verifier output","cold result","7189","BE12253E6F4BB49C204638D6ACA5287D2A7E4FC5D85CC1B779A207631A2CED49"
"A12C","A","03_HOMOLOGY_O2_O3","F:\THEORY\programs\one_plaquette\ENGINE_FLUX_glueball_band_certificate_v2.py","Independent band verifier","supporting certificate","20671","3BF2E4B98401ABD35D17AACBD0BDF011243BCE7C7188F352B99EA9FC883E3EBE"
"A12R","A","03_HOMOLOGY_O2_O3","F:\THEORY\programs\one_plaquette\NOTE_FLUX_glueball_band_results_v2.md","Independent band verifier output","supporting result","11548","436EA8D247A36F09EF24461CE5C8B56204002AED263DB8648C47A73586EAB445"
"A13C","A","03_HOMOLOGY_O2_O3","C:\Users\Alex\Downloads\ENGINE_SUN_closed_surface_band_stage1_certificate.py","All-rank second-order closed-surface verifier","cold certificate","12912","CEFC464A9D2C15E32453EE3ED99A721F142E0BB93EB4C03E080051E4AA059285"
